"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","","YKR104W","","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","STE6","YKL209C","STErile","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1; HHF1 ","256450","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","","YKR104W","","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","STE6","YKL209C","STErile","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"HYPOGLYCEMIA, LEUCINE-INDUCED; LIH ","240800","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","","YKR104W","","Panther"
"LEIGH SYNDROME; LS ","256000","SURF1","surfeit 1","6834","185620","SHY1","YGR112W","SURF Homolog of Yeast","Ensembl"
"LEIGH SYNDROME; LS ","256000","SURF1","surfeit 1","6834","185620","SHY1","YGR112W","SURF Homolog of Yeast","Panther"
"LEIGH SYNDROME; LS ","256000","SURF1","surfeit 1","6834","185620","SHY1","YGR112W","SURF Homolog of Yeast","TreeFam"
"DYSTONIA 3, TORSION, X-LINKED; DYT3 ","314250","TAF1","TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa","6872","313650","TAF1","YGR274C","TATA binding protein-Associated Factor","Ensembl"
"DYSTONIA 3, TORSION, X-LINKED; DYT3 ","314250","TAF1","TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa","6872","313650","TAF1","YGR274C","TATA binding protein-Associated Factor","Panther"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","NQM1","YGR043C","Non-Quiescent Mutant","Ensembl"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","NQM1","YGR043C","Non-Quiescent Mutant","Panther"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","NQM1","YGR043C","Non-Quiescent Mutant","TreeFam"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","TAL1","YLR354C","TransALdolase","Ensembl"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","TAL1","YLR354C","TransALdolase","HomoloGene"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","TAL1","YLR354C","TransALdolase","Panther"
"TRANSALDOLASE DEFICIENCY ","606003","TALDO1","transaldolase 1","6888","602063","TAL1","YLR354C","TransALdolase","TreeFam"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","6890","170260","MDL1","YLR188W","MultiDrug resistance-Like","Ensembl"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","6890","170260","MDL1","YLR188W","MultiDrug resistance-Like","Panther"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","6890","170260","MDL2","YPL270W","MultiDrug resistance-Like","Ensembl"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","6890","170260","MDL2","YPL270W","MultiDrug resistance-Like","Panther"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","6891","170261","MDL1","YLR188W","MultiDrug resistance-Like","Ensembl"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","6891","170261","MDL1","YLR188W","MultiDrug resistance-Like","Panther"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","6891","170261","MDL2","YPL270W","MultiDrug resistance-Like","Ensembl"
"BARE LYMPHOCYTE SYNDROME, TYPE I ","604571","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","6891","170261","MDL2","YPL270W","MultiDrug resistance-Like","Panther"
"BARTH SYNDROME; BTHS ","302060","TAZ","tafazzin","6901","300394","TAZ1","YPR140W","TAfaZzin","Ensembl"
"BARTH SYNDROME; BTHS ","302060","TAZ","tafazzin","6901","300394","TAZ1","YPR140W","TAfaZzin","Panther"
"BARTH SYNDROME; BTHS ","302060","TAZ","tafazzin","6901","300394","TAZ1","YPR140W","TAfaZzin","TreeFam"
"HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRD ","241410","TBCE","tubulin folding cofactor E","6905","604934","PAC2","YER007W","Perish in the Absence of Cin8p","Ensembl"
"HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRD ","241410","TBCE","tubulin folding cofactor E","6905","604934","PAC2","YER007W","Perish in the Absence of Cin8p","Panther"
"HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRD ","241410","TBCE","tubulin folding cofactor E","6905","604934","PAC2","YER007W","Perish in the Absence of Cin8p","TreeFam"
"KENNY-CAFFEY SYNDROME, TYPE 1; KCS1 ","244460","TBCE","tubulin folding cofactor E","6905","604934","PAC2","YER007W","Perish in the Absence of Cin8p","Ensembl"
"KENNY-CAFFEY SYNDROME, TYPE 1; KCS1 ","244460","TBCE","tubulin folding cofactor E","6905","604934","PAC2","YER007W","Perish in the Absence of Cin8p","Panther"
"KENNY-CAFFEY SYNDROME, TYPE 1; KCS1 ","244460","TBCE","tubulin folding cofactor E","6905","604934","PAC2","YER007W","Perish in the Absence of Cin8p","TreeFam"
"PARKINSON DISEASE, LATE-ONSET; PD ","168600","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","Ensembl"
"PARKINSON DISEASE, LATE-ONSET; PD ","168600","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","HomoloGene"
"PARKINSON DISEASE, LATE-ONSET; PD ","168600","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","Panther"
"PARKINSON DISEASE, LATE-ONSET; PD ","168600","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","TreeFam"
"SPINOCEREBELLAR ATAXIA 17; SCA17 ","607136","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","Ensembl"
"SPINOCEREBELLAR ATAXIA 17; SCA17 ","607136","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","HomoloGene"
"SPINOCEREBELLAR ATAXIA 17; SCA17 ","607136","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","Panther"
"SPINOCEREBELLAR ATAXIA 17; SCA17 ","607136","TBP","TATA box binding protein","6908","600075","SPT15","YER148W","SuPpressor of Ty","TreeFam"
"TREACHER COLLINS SYNDROME 1; TCS1 ","154500","TCOF1","Treacher Collins-Franceschetti syndrome 1","6949","606847","CHS5","YLR330W","CHitin Synthase-related","Ensembl"
"ATRIAL SEPTAL DEFECT 5; ASD5 ","612794","ACTC1","actin, alpha, cardiac muscle 1","70","102540","ACT1","YFL039C","ACTin","Panther"
"CARDIOMYOPATHY, DILATED, 1R; CMD1R LEFT VENTRICULAR NONCOMPACTION 4, INCLUDED; LVNC4, INCLUDED ","613424","ACTC1","actin, alpha, cardiac muscle 1","70","102540","ACT1","YFL039C","ACTin","Panther"
"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11; CMH11 ","612098","ACTC1","actin, alpha, cardiac muscle 1","70","102540","ACT1","YFL039C","ACTin","Panther"
"SVEINSSON CHORIORETINAL ATROPHY; SCRA ","108985","TEAD1","TEA domain family member 1 (SV40 transcriptional enhancer factor)","7003","189967","TEC1","YBR083W","Transposon Enhancement Control","Panther"
"COLORECTAL CANCER; CRC ","114500","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","BUB1","YGR188C","Budding Uninhibited by Benzimidazole","Ensembl"
"COLORECTAL CANCER; CRC ","114500","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","BUB1","YGR188C","Budding Uninhibited by Benzimidazole","Panther"
"COLORECTAL CANCER; CRC ","114500","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","MAD3","YJL013C","Mitotic Arrest-Deficient","Ensembl"
"COLORECTAL CANCER; CRC ","114500","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","MAD3","YJL013C","Mitotic Arrest-Deficient","Panther"
"MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1 ","257300","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","BUB1","YGR188C","Budding Uninhibited by Benzimidazole","Ensembl"
"MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1 ","257300","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","BUB1","YGR188C","Budding Uninhibited by Benzimidazole","Panther"
"MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1 ","257300","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","MAD3","YJL013C","Mitotic Arrest-Deficient","Ensembl"
"MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1 ","257300","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","MAD3","YJL013C","Mitotic Arrest-Deficient","Panther"
"PREMATURE CHROMATID SEPARATION TRAIT; PCS ","176430","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","BUB1","YGR188C","Budding Uninhibited by Benzimidazole","Ensembl"
"PREMATURE CHROMATID SEPARATION TRAIT; PCS ","176430","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","BUB1","YGR188C","Budding Uninhibited by Benzimidazole","Panther"
"PREMATURE CHROMATID SEPARATION TRAIT; PCS ","176430","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","MAD3","YJL013C","Mitotic Arrest-Deficient","Ensembl"
"PREMATURE CHROMATID SEPARATION TRAIT; PCS ","176430","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","701","602860","MAD3","YJL013C","Mitotic Arrest-Deficient","Panther"
"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2 DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED ","613989","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Ensembl"
"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2 DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED ","613989","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Panther"
"LEUKEMIA, ACUTE MYELOID; AML ","601626","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Ensembl"
"LEUKEMIA, ACUTE MYELOID; AML ","601626","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Panther"
"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 9; CMM9 ","615134","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Ensembl"
"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 9; CMM9 ","615134","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Panther"
"PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 1; PFBMFT1 ","614742","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Ensembl"
"PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 1; PFBMFT1 ","614742","TERT","telomerase reverse transcriptase","7015","187270","EST2","YLR318W","Ever Shorter Telomeres","Panther"
"RENAL CELL CARCINOMA, Xp11-ASSOCIATED; RCCX1 ","300854","TFE3","transcription factor binding to IGHM enhancer 3","7030","314310","RTG1","YOL067C","ReTroGrade regulation","Panther"
"RENAL CELL CARCINOMA, Xp11-ASSOCIATED; RCCX1 ","300854","TFE3","transcription factor binding to IGHM enhancer 3","7030","314310","RTG3","YBL103C","ReTroGrade regulation","Panther"
"HEMOCHROMATOSIS, TYPE 3; HFE3 ","604250","TFR2","transferrin receptor 2","7036","604720","VPS70","YJR126C","Vacuolar Protein Sorting","Ensembl"
"HEMOCHROMATOSIS, TYPE 3; HFE3 ","604250","TFR2","transferrin receptor 2","7036","604720","VPS70","YJR126C","Vacuolar Protein Sorting","Panther"
"HEMOCHROMATOSIS, TYPE 3; HFE3 ","604250","TFR2","transferrin receptor 2","7036","604720","VPS70","YJR126C","Vacuolar Protein Sorting","TreeFam"
"CORNEAL DYSTROPHY, AVELLINO TYPE; CDA ","607541","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"CORNEAL DYSTROPHY, EPITHELIAL BASEMENT MEMBRANE; EBMD ","121820","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"CORNEAL DYSTROPHY, GROENOUW TYPE I; CDGG1 ","121900","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"CORNEAL DYSTROPHY, LATTICE TYPE IIIA; CDL3A ","608471","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"CORNEAL DYSTROPHY, LATTICE TYPE I; LCD1 ","122200","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1 ","608470","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE II; CDB2 ","602082","TGFBI","transforming growth factor, beta-induced, 68kDa","7045","601692","","YLR001C","","Panther"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","CUP9","YPL177C","","Ensembl"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","CUP9","YPL177C","","Panther"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","CUP9","YPL177C","","TreeFam"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","HMLALPHA2","YCL067C","Hidden Mat Left ALPHA","Panther"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","HMRA2","YCR096C","Hidden Mat Right A","Panther"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","MATALPHA2","YCR039C","MATing type protein ALPHA","Panther"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","TOS8","YGL096W","Target Of Sbf","Ensembl"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","TOS8","YGL096W","Target Of Sbf","Panther"
"HOLOPROSENCEPHALY 4; HPE4 ","142946","TGIF1","TGFB-induced factor homeobox 1","7050","602630","TOS8","YGL096W","Target Of Sbf","TreeFam"
"WELANDER DISTAL MYOPATHY; WDM ","604454","TIA1","TIA1 cytotoxic granule-associated RNA binding protein","7072","603518","PUB1","YNL016W","PolyUridylate Binding","Ensembl"
"WELANDER DISTAL MYOPATHY; WDM ","604454","TIA1","TIA1 cytotoxic granule-associated RNA binding protein","7072","603518","PUB1","YNL016W","PolyUridylate Binding","TreeFam"
"BARAITSER-WINTER SYNDROME 2; BRWS2 ","614583","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","Ensembl"
"BARAITSER-WINTER SYNDROME 2; BRWS2 ","614583","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","HomoloGene"
"BARAITSER-WINTER SYNDROME 2; BRWS2 ","614583","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","Panther"
"BARAITSER-WINTER SYNDROME 2; BRWS2 ","614583","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","TreeFam"
"DEAFNESS, AUTOSOMAL DOMINANT 20; DFNA20 ","604717","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","Ensembl"
"DEAFNESS, AUTOSOMAL DOMINANT 20; DFNA20 ","604717","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","HomoloGene"
"DEAFNESS, AUTOSOMAL DOMINANT 20; DFNA20 ","604717","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","Panther"
"DEAFNESS, AUTOSOMAL DOMINANT 20; DFNA20 ","604717","ACTG1","actin, gamma 1","71","102560","ACT1","YFL039C","ACTin","TreeFam"
"CARDIOMYOPATHY, DILATED, 1Z; CMD1Z ","611879","TNNC1","troponin C type 1 (slow)","7134","191040","CMD1","YBR109C","CalMoDulin","Ensembl"
"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 13; CMH13 ","613243","TNNC1","troponin C type 1 (slow)","7134","191040","CMD1","YBR109C","CalMoDulin","Ensembl"
"TRIOSEPHOSPHATE ISOMERASE DEFICIENCY; TPID ","615512","TPI1","triosephosphate isomerase 1","7167","190450","TPI1","YDR050C","Triose-Phosphate Isomerase","Ensembl"
"TRIOSEPHOSPHATE ISOMERASE DEFICIENCY; TPID ","615512","TPI1","triosephosphate isomerase 1","7167","190450","TPI1","YDR050C","Triose-Phosphate Isomerase","Panther"
"TRIOSEPHOSPHATE ISOMERASE DEFICIENCY; TPID ","615512","TPI1","triosephosphate isomerase 1","7167","190450","TPI1","YDR050C","Triose-Phosphate Isomerase","TreeFam"
"CARDIOMYOPATHY, DILATED, 1Y; CMD1Y LEFT VENTRICULAR NONCOMPACTION 9, INCLUDED; LVNC9, INCLUDED ","611878","TPM1","tropomyosin 1 (alpha)","7168","191010","TPM1","YNL079C","TroPoMyosin","Ensembl"
"CARDIOMYOPATHY, DILATED, 1Y; CMD1Y LEFT VENTRICULAR NONCOMPACTION 9, INCLUDED; LVNC9, INCLUDED ","611878","TPM1","tropomyosin 1 (alpha)","7168","191010","TPM1","YNL079C","TroPoMyosin","Panther"
"CARDIOMYOPATHY, DILATED, 1Y; CMD1Y LEFT VENTRICULAR NONCOMPACTION 9, INCLUDED; LVNC9, INCLUDED ","611878","TPM1","tropomyosin 1 (alpha)","7168","191010","TPM2","YIL138C","TroPoMyosin","Ensembl"
